Year,Disaster Type,Decade
1985,Flood,1980
1985,Storm,1980
1985,Landslide,1980
1985,Extreme temperature,1980
1985,Storm,1980
1985,Flood,1980
1985,Storm,1980
1985,Storm,1980
1985,Storm,1980
1985,Flood,1980
1985,Earthquake,1980
1985,Flood,1980
1985,Wildfire,1980
1985,Extreme temperature,1980
1985,Wildfire,1980
1985,Wildfire,1980
1985,Flood,1980
1985,Epidemic,1980
1985,Flood,1980
1985,Storm,1980
1985,Storm,1980
1985,Storm,1980
1985,Storm,1980
1985,Extreme temperature,1980
1985,Wildfire,1980
1985,Epidemic,1980
1985,Wildfire,1980
1985,Extreme temperature,1980
1985,Wildfire,1980
1985,Earthquake,1980
1985,Storm,1980
1985,Wildfire,1980
1985,Flood,1980
1985,Flood,1980
1986,Storm,1980
1986,Flood,1980
1986,Storm,1980
1986,Storm,1980
1986,Storm,1980
1986,Storm,1980
1986,Storm,1980
1986,Flood,1980
1986,Insect infestation,1980
1986,Storm,1980
1986,Flood,1980
1986,Storm,1980
1986,Storm,1980
1986,Epidemic,1980
1986,Flood,1980
1986,Storm,1980
1986,Earthquake,1980
1986,Storm,1980
1986,Flood,1980
1986,Earthquake,1980
1986,Epidemic,1980
1986,Flood,1980
1986,Insect infestation,1980
1986,Flood,1980
1986,Wildfire,1980
1986,Wildfire,1980
1986,Storm,1980
1986,Storm,1980
1986,Storm,1980
1986,Storm,1980
1986,Flood,1980
1986,Storm,1980
1986,Earthquake,1980
1986,Storm,1980
1986,Storm,1980
1986,Storm,1980
1986,Extreme temperature,1980
1986,Storm,1980
1986,Storm,1980
1986,Flood,1980
1986,Flood,1980
1986,Storm,1980
1986,Volcanic activity,1980
1986,Landslide,1980
1986,Landslide,1980
1986,Landslide,1980
1986,Storm,1980
1986,Flood,1980
1986,Drought,1980
1986,Flood,1980
1986,Storm,1980
1986,Insect infestation,1980
1986,Storm,1980
1986,Flood,1980
1986,Wildfire,1980
1986,Storm,1980
1986,Insect infestation,1980
1986,Insect infestation,1980
1986,Earthquake,1980
1986,Earthquake,1980
1986,Storm,1980
1986,Storm,1980
1986,Wildfire,1980
1986,Flood,1980
1986,Flood,1980
1987,Earthquake,1980
1987,Earthquake,1980
1987,Earthquake,1980
1987,Flood,1980
1987,Landslide,1980
1987,Epidemic,1980
1987,Wildfire,1980
1987,Flood,1980
1987,Storm,1980
1987,Flood,1980
1987,Epidemic,1980
1987,Epidemic,1980
1987,Insect infestation,1980
1987,Flood,1980
1987,Storm,1980
1987,Epidemic,1980
1987,Epidemic,1980
1987,Flood,1980
1987,Epidemic,1980
1987,Storm,1980
1987,Flood,1980
1987,Flood,1980
1987,Drought,1980
1987,Flood,1980
1987,Storm,1980
1987,Storm,1980
